evento,tipo,depth,peak,SP500_vol_z,VIX_level_z,credit_BaaAaa_z,SP500_drawdown,corr_spx_bond,yield_slope_z
great_crash_depresion_1929,crash,-0.862,1929-09-16,0.8830018943399761,,,-0.47967960947169264,,
recesion_1937_38,bear,-0.545,1937-03-10,0.01236263805877577,,,-0.5638919415225015,,
recesion_1957_58,bear,-0.215,1956-08-02,-0.6337885685596084,,,-0.07704562534594485,,
kennedy_slide_1962,bear,-0.28,1961-12-12,-0.43696645255102456,,,-0.08041974775882518,-0.06211960905606214,
credit_crunch_1966,bear,-0.222,1966-02-09,-0.4556989275263475,,,-0.0904450331360288,-0.060663062668161925,
bear_1969_70,bear,-0.361,1968-11-29,-0.5184870403979966,,,-0.12344348089498863,0.2800849077826984,
oil_stagflation_1973,bear,-0.482,1973-01-11,0.03539138310484466,,,-0.1829869853966064,0.08424692207055827,
volcker_1980_82,bear,-0.271,1980-11-28,-0.17592596761334162,,,-0.12549578162764108,0.36730167777978695,0.7391793978515885
black_monday_1987,crash,-0.335,1987-08-25,2.495073314377094,,-1.2120091370858777,-0.16156919385041776,0.36842875250583507,0.9129246377793009
gulf_war_sl_1990,correction,-0.199,1990-07-16,0.2618954894162836,1.4410448778819698,-0.4836915079852124,-0.10957396139700099,0.5091502831288172,-0.7022203298427135
ltcm_russia_1998,correction,-0.193,1998-07-17,0.3295293054437114,2.258288319416219,-1.041680856822564,-0.07273225722022626,-0.36151250864554557,-1.4851235598761197
dotcom_2000_02,bear,-0.491,2000-03-24,0.577428899788397,1.0155143623936214,0.40744922148119433,-0.2049417008361018,-0.2538647865885963,-0.2294675978925439
gfc_2007_09,bear,-0.568,2007-10-09,1.5542091635932591,1.8802023848367078,3.1766486263193783,-0.22490937017729207,-0.537569968129075,0.31495148109781546
flash_crash_euro1_2010,correction,-0.16,2010-04-23,0.8993327701335483,1.1124871517415975,0.5181816697470005,-0.2897422106522617,-0.6457456212112939,1.1948928556884568
us_downgrade_euro2_2011,correction,-0.194,2011-04-29,0.6254463606052365,0.6421629310965454,-0.14871901954709682,-0.19517115195769377,-0.5767438863679224,0.6906473576950402
china_oil_2015_16,correction,-0.142,2015-05-21,0.07659139740670548,-0.18008666823921046,0.6965876677325524,-0.04768209606165922,-0.3720800138952381,0.19531454773983142
volmageddon_2018q1,vol_spike,-0.102,2018-01-26,-0.17621540099857408,0.24198222494842536,-0.7343112995491229,-0.04055914045017724,-0.24343102755986915,-0.5107255409209042
fed_tightening_2018q4,correction,-0.198,2018-09-20,0.19939134662687097,0.05212569584248661,0.044359489333901776,-0.06677849000095966,-0.30363613588879435,-1.0040809712405805
covid_2020,crash,-0.339,2020-02-19,2.742667723823001,3.4893134022727623,0.056533717107247035,-0.15652004818187215,-0.5321211553407627,-1.3080189364756063
inflation_bear_2022,bear,-0.254,2022-01-03,0.6947795275313198,0.8123228292330762,-0.045207671709391266,-0.13259696131914034,-0.03802958713627627,-0.4575890977459928
svb_banking_2023,credit_event,-0.078,2023-02-02,0.046786649775282955,0.10622109393268604,0.1925987585587213,-0.15807216954258876,0.215887100496781,-2.43872821337855
tariff_selloff_2025,correction,-0.189,2025-02-19,0.2631293698308847,0.5222143945831285,-0.9046327976921489,-0.0738286783828072,0.020726917460818128,-1.3018401750543285
