crisis,tipo,peak,depth,RV21_max,VXO_max,VIX_max,MOVE_max,VVIX_max,VIX3M_over_VIX_min,SKEW_max
great_crash_1929,crash,1929-09-16,-0.862,105.23125139645369,,,,,,
recesion_1937_38,bear,1937-03-10,-0.545,58.636216496462346,,,,,,
recesion_1957_58,bear,1956-08-02,-0.215,23.733576028138852,,,,,,
kennedy_slide_1962,bear,1961-12-12,-0.28,38.54115139299671,,,,,,
credit_crunch_1966,bear,1966-02-09,-0.222,20.719530130391686,,,,,,
bear_1969_70,bear,1968-11-29,-0.361,32.24852552627784,,,,,,
oil_stagflation_1973,bear,1973-01-11,-0.482,34.93599390729369,,,,,,
volcker_1980_82,bear,1980-11-28,-0.271,26.99487302706711,,,,,,
black_monday_1987,crash,1987-08-25,-0.335,100.57844028761656,150.19,,,,,
gulf_war_1990,correction,1990-07-16,-0.199,26.091103027963648,38.07,36.47,,,,137.94000244140625
ltcm_russia_1998,correction,1998-07-17,-0.193,41.906397819753025,48.33,45.29,,,,136.2899932861328
dotcom_2000_02,bear,2000-03-24,-0.491,47.06531875338265,50.48,45.08,,,,124.63999938964844
gfc_2007_09,bear,2007-10-09,-0.568,85.35567054915914,87.24,80.86,264.6000061035156,134.8699951171875,0.6988499840396885,129.35000610351562
flash_crash_2010,correction,2010-04-23,-0.16,33.89664943775279,43.63,45.79,116.69999694824219,145.1199951171875,0.8039634402205305,129.27999877929688
us_downgrade_2011,correction,2011-04-29,-0.194,49.41066382799248,50.13,48.0,117.80000305175781,134.6300048828125,0.7937499682108561,129.24000549316406
china_oil_2015_16,correction,2015-05-21,-0.142,31.94676289700331,37.66,40.74,96.30999755859375,168.75,0.764359337006589,151.22000122070312
volmageddon_2018q1,vol_spike,2018-01-26,-0.102,26.39374740674682,35.94,37.32,69.86000061035156,180.61000061035156,0.7537513172767042,148.02000427246094
fed_tightening_2018q4,correction,2018-09-20,-0.198,31.702119088432866,37.34,36.07,68.33999633789062,135.61000061035156,0.7995564223062903,144.83999633789062
covid_2020,crash,2020-02-19,-0.339,97.55517434471838,93.85,82.69,163.6999969482422,207.58999633789062,0.7442034500491082,141.80999755859375
inflation_bear_2022,bear,2022-01-03,-0.254,34.279805128315274,,36.45,160.72000122070312,154.3800048828125,0.9780912410740663,151.49000549316406
svb_banking_2023,credit_event,2023-02-02,-0.078,18.642843098043492,,26.52,182.63999938964844,124.75,1.0045248638630633,136.6199951171875
tariff_selloff_2025,correction,2025-02-19,-0.189,49.28411938964759,,52.33,139.8800048828125,170.9199981689453,0.7850149226929595,178.57000732421875
